"UID","PID","LEGTYPE","CHAMBER","STATECODE","DISTRICT","DISTRAIL","FIRSTNAME","LASTNAME","MIDNAME","PREFIX","GENSUFFIX","TITLE","COMCODE1","COMOFFC1","COMRANK1","SUBCODE11","SUBCOMOFF11","SUBRANK11","SUBCODE12","SUBCOMOFF12","SUBRANK12","SUBCODE13","SUBCOMOFF13","SUBRANK13","SUBCODE14","SUBCOMOFF14","SUBRANK14","SUBCODE15","SUBCOMOFF15","SUBRANK15","COMCODE2","COMOFFC2","COMRANK2","SUBCODE21","SUBCOMOFF21","SUBRANK21","SUBCODE22","SUBCOMOFF22","SUBRANK22","SUBCODE23","SUBCOMOFF23","SUBRANK23","SUBCODE24","SUBCOMOFF24","SUBRANK24","SUBCODE25","SUBCOMOFF25","SUBRANK25","COMCODE3","COMOFFC3","COMRANK3","SUBCODE31","SUBCOMOFF31","SUBRANK31","SUBCODE32","SUBCOMOFF32","SUBRANK32","SUBCODE33","SUBCOMOFF33","SUBRANK33","SUBCODE34","SUBCOMOFF34","SUBRANK34","SUBCODE35","SUBCOMOFF35","SUBRANK35","COMCODE4","COMOFFC4","COMRANK4","SUBCODE41","SUBCOMOFF41","SUBRANK41","SUBCODE42","SUBCOMOFF42","SUBRANK42","SUBCODE43","SUBCOMOFF43","SUBRANK43","SUBCODE44","SUBCOMOFF44","SUBRANK44","SUBCODE45","SUBCOMOFF45","SUBRANK45","COMCODE5","COMOFFC5","COMRANK5","SUBCODE51","SUBCOMOFF51","SUBRANK51","SUBCODE52","SUBCOMOFF52","SUBRANK52","SUBCODE53","SUBCOMOFF53","SUBRANK53","SUBCODE54","SUBCOMOFF54","SUBRANK54","SUBCODE55","SUBCOMOFF55","SUBRANK55","COMCODE6","COMOFFC6","COMRANK6","COMCODE7","COMOFFC7","COMRANK7","COMCODE8","COMOFFC8","COMRANK8","COMCODE9","COMOFFC9","COMRANK9","CUMCOMCODE","CUMSUBCODE"
21824,193118,"FL","H","CO","05","","Doug","Lamborn","L.","Rep.","","US Representative","HARM","","R010","HARM05","","R007","HARM30","","R002","","","","","","","","","","HNRES","","R004","HNRES05","","R004","HNRES25","CHM","R001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HNRES","HARM05;HARM30;HNRES05;HNRES25"
21987,158937,"FL","H","NC","04","","David","Price","E.","Rep.","","US Representative","HAPP","","D007","HAPP30","","D003","HAPP55","","D005","HAPP60","RMM","D001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP30;HAPP55;HAPP60"
22143,285248,"FL","H","TX","23","","Will","Hurd","","Rep.","","US Representative","HHLS","","R008","HHLS05","","R005","HHLS10","","R004","","","","","","","","","","HOGOV","","R019","HOGOV15","CHM","R001","","","","","","","","","","","","","HITL","","R013","HITL10","","R006","HITL15","","R006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HHLS;HOGOV;HITL","HHLS05;HHLS10;HOGOV15;HITL10;HITL15"
30004,210000,"FL","S","VA","S01","","Mark","Warner","R.","Sen.","","US Senator","SFIN","","D011","SFIN05","","D006","SFIN15","","D007","SFIN30","RMM","D001","","","","","","","SBAN","","D005","SBAN10","","D004","SBAN20","","D002","SBAN25","RMM","D001","","","","","","","SBUD","","D006","","","","","","","","","","","","","","","","SITL","VCH","D001","","","","","","","","","","","","","","","","SRUL","","D006","","","","","","","","","","","","","","","","","","","","","","","","","","","","SFIN;SBAN;SBUD;SITL;SRUL","SFIN05;SFIN15;SFIN30;SBAN10;SBAN20;SBAN25"
36764,226527,"FL","H","NE","01","","Jeff","Fortenberry","L.","Rep.","","US Representative","HAPP","","R014","HAPP20","","R004","HAPP50","VCH","R002","HAPP55","","R005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP","HAPP20;HAPP50;HAPP55"
21749,158699,"FL","H","AK","01","","Don","Young","","Rep.","","US Representative","HTRA","","R003","HTRA05","","R003","HTRA10","","R003","HTRA20","","R003","","","","","","","HNRES","CHE","R002","HNRES10","","R002","HNRES15","","R003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HTRA;HNRES","HTRA05;HTRA10;HTRA20;HNRES10;HNRES15"
21751,283894,"FL","H","AL","02","","Martha","Roby","","Rep.","","US Representative","HAPP","","R021","HAPP10","","R006","HAPP15","","R010","HAPP40","","R006","","","","","","","HJUD","","R017","HJUD15","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP;HJUD","HAPP10;HAPP15;HAPP40;HJUD15"
21753,158703,"FL","H","AL","04","","Robert","Aderholt","B.","Rep.","","US Representative","HAPP","","R003","HAPP05","CHM","R001","HAPP10","","R004","HAPP15","","R006","","","","","","","JEUR","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP;JEUR","HAPP05;HAPP10;HAPP15"
21754,283897,"FL","H","AL","05","","Mo","Brooks","","Rep.","","US Representative","HARM","","R016","HARM30","","R004","HARM35","","R014","","","","","","","","","","HFOR","","R012","HFOR10","","R005","HFOR30","","R005","","","","","","","","","","HSST","","R004","HSST05","","R005","HSST10","","R004","HSST25","VCH","R002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HFOR;HSST","HARM30;HARM35;HFOR10;HFOR30;HSST05;HSST10;HSST25"
21755,475776,"FL","H","AL","06","","Gary","Palmer","J.","Rep.","","US Representative","HOGOV","","R020","HOGOV20","CHM","R001","HOGOV25","","R003","","","","","","","","","","HSST","","R015","HSST05","","R008","HSST10","","R007","","","","","","","","","","HBUD","","R011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOGOV;HSST;HBUD","HOGOV20;HOGOV25;HSST05;HSST10"
