"COMID","COMCODE","COMTYPE","TYPEDESCR","COMNAME","COMLEVEL","PARENTNAME","PARENTCOMCODE","COMSTATE","STATENAME","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","CHAIRLNAME","CHAIRFNAME","CHAIRMNAME","CHAIROCODE","CHAIRDESC","RMMLNAME","RMMFNAME","RMMMNAME","RMMOCODE","RMMDESC","SD1LNAME","SD1FNAME","SD1MNAME","SD1TITLE","SD1MAJMIN","SD1PHONE","SD1EMAIL","GC1LNAME","GC1FNAME","GC1MNAME","GC1TITLE","GC1MAJMIN","GC1PHONE","GC1EMAIL","PS1LNAME","PS1FNAME","PS1MNAME","PS1TITLE","PS1MAJMIN","PS1PHONE","PS1EMAIL","PM1LNAME","PM1FNAME","PM1MNAME","PM1TITLE","PM1MAJMIN","PM1PHONE","PM1EMAIL","CK1LNAME","CK1FNAME","CK1MNAME","CK1TITLE","CK1MAJMIN","CK1PHONE","CK1EMAIL","SD2LNAME","SD2FNAME","SD2MNAME","SD2TITLE","SD2MAJMIN","SD2PHONE","SD2EMAIL","GC2LNAME","GC2FNAME","GC2MNAME","GC2TITLE","GC2MAJMIN","GC2PHONE","GC2EMAIL","PS2LNAME","PS2FNAME","PS2MNAME","PS2TITLE","PS2MAJMIN","PS2PHONE","PS2EMAIL","PM2LNAME","PM2FNAME","PM2MNAME","PM2TITLE","PM2MAJMIN","PM2PHONE","PM2EMAIL","CK2LNAME","CK2FNAME","CK2MNAME","CK2TITLE","CK2MAJMIN","CK2PHONE","CK2EMAIL"
14600,"HAGR","FH","Federal House","House Committee on Agriculture","Committee","","",,"","Room 1301 LHOB- Longworth House Office Building","15 Independence Avenue, SE","Washington","DC","20515","(202) 225-2171","(202) 225-0917","AgRepublicanPress@mail.house.gov","http://agriculture.house.gov/","Conaway","Mike","","CHM","Chairman","Peterson","Collin","C.","RMM","Ranking Minority Member","Fischer","Bart","L.","Deputy Staff Director; Chief Economist","MAJ","(202) 225-2171","bart.fischer@mail.house.gov","Straughn","Patricia","","Deputy Chief Counsel","MAJ","(202) 225-2171","patricia.straughn@mail.house.gov","Wilken","Mollie","","Press Secretary","MAJ","(202) 225-2171","mollie.wilken@mail.house.gov","Maxwell","Josh","","Senior Professional Staff Member","MAJ","(202) 225-2171","josh.maxwell@mail.house.gov","Reedholm","Carly","","Deputy Clerk","MAJ","(202) 225-2171","carly.reedholm@mail.house.gov","Simmons","Anne","L.","Staff Director","MIN","(202) 225-0317","anne.simmons@mail.house.gov","MacKenzie","Matthew","","Senior Counsel","MIN","(202) 225-0720","matt.mackenzie@mail.house.gov","Delaney","Patrick","","Communications Director","MIN","(202) 225-0317","patrick.delaney@mail.house.gov","Jones","Keith","","Professional Staff Member","MIN","(202) 225-0317","keith.jones@mail.house.gov","","","","","","",""
14603,"HWAY05","FH","Federal House","House Subcommittee on Health","Subcommittee","House Committee on Ways and Means","HWAY",,"","Room 1104 LHOB- Longworth House Office Building","15 Independence Avenue, SE","Washington","DC","20515-6349","(202) 225-3943","(202) 226-1765","","http://waysandmeans.house.gov/subcommittee/health","Roskam","Peter","J.","CHM","Chairman","Levin","Sandy","M.","RMM","Ranking Minority Member","Murry","Emily","A.","Staff Director","MAJ","(202) 225-3943","emily.murry@mail.house.gov","DiBlasio","Carla","","Health Counsel","MAJ","(202) 225-3943","carla.diblasio@mail.house.gov","","","","","","","","Uehlecke","Nicholas","","Professional Staff Member","MAJ","(202) 225-3943","nicholas.uehlecke@mail.house.gov","","","","","","","","Hall","Amy","B.","Staff Director","MIN","(202) 225-4021","amy.hall@mail.house.gov","","","","","","","","","","","","","","","Egorin","Melanie","","Professional Staff Member","MIN","(202) 225-4021","melanie.egorin@mail.house.gov","","","","","","",""
14607,"HCOM","FH","Federal House","House Committee on Energy and Commerce","Committee","","",,"","Room 2125 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515-6115","(202) 225-2927","(202) 225-1919","energycommerce@mail.house.gov","http://energycommerce.house.gov/","Walden","Greg","P.","CHM","Chairman","Pallone","Frank","J.","RMM","Ranking Minority Member","Bloomquist","Michael","D.","Staff Director","MAJ","(202) 225-2927","mike.bloomquist@mail.house.gov","Froelich","Melissa","","Chief Counsel","MAJ","(202) 225-2927","melissa.froelich@mail.house.gov","Sherman","Jennifer","","Press Secretary","MAJ","(202) 225-2927","jennifer.sherman@mail.house.gov","Spencer","Peter","","Professional Staff Member","MAJ","(202) 225-2927","Peter.Spencer@mail.house.gov","Viau","Evan","","Legislative Clerk","MAJ","(202) 225-2927","evan.viau@mail.house.gov","Carroll","Jeffrey","C.","Staff Director","MIN","(202) 225-3641","jeff.carroll@mail.house.gov","Robinson","Timothy","","Chief Counsel","MIN","(202) 225-4372","timothy.robinson@mail.house.gov","Souvall","Andrew","","Director of Communications; Member Services, and Outreach","MIN","(202) 225-3641","andrew.souvall@mail.house.gov","Haberman","Caitlin","","Professional Staff Member","MIN","(202) 225-3641","caitlin.haberman@mail.house.gov","","","","","","",""
14744,"SFIN15","FS","Federal Senate","Senate Subcommittee on Health Care","Subcommittee","Senate Committee on Finance","SFIN",,"","Room 219 DSOB- Dirksen Senate Office Building","100 Constitution Avenue, NE","Washington","DC","20510-6200","(202) 224-4515","(202) 228-0554","","http://www.finance.senate.gov/about/subcommittees/#healthcare","Toomey","Pat","J.","CHM","Chairman","Stabenow","Debbie","A.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14619,"HRUL","FH","Federal House","House Committee on Rules","Committee","","",,"","Room H-312 The Capitol","","Washington","DC","20515-6269","(202) 225-9191","(202) 225-6763","Rules.Rs@mail.house.gov","http://rules.house.gov/","Sessions","Pete","A.","CHM","Chairman","","","","","","Cote","Stephen","M.","Staff Director","MAJ","(202) 225-9191","stephen.cote@mail.house.gov","","","","","","","","Boothe","Caroline","","Communications Director","MAJ","(202) 225-2231","caroline.boothe@mail.house.gov","Davis","Alec","","Professional Staff Member","MAJ","(202) 225-9191","alec.davis@mail.house.gov","Gill","Hannah","","Assistant Clerk","MAJ","(202) 225-9191","hannah.gill@mail.house.gov","Sisson","Donald","C.","Staff Director","MIN","(202) 225-9091","don.sisson@mail.house.gov","","","","","","","","Gohringer","Jeff","","Communications Director","MIN","(202) 225-9091","jeff.gohringer@mail.house.gov","Laughlin","RoseMarie","","Professional Staff Member","MIN","(202) 225-9091","rose.laughlin@mail.house.gov","","","","","","",""
14626,"HTRA05","FH","Federal House","House Subcommittee on Aviation","Subcommittee","House Committee on Transportation and Infrastructure","HTRA",,"","Room 2251 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515","(202) 226-3220","(202) 225-4629","","http://transportation.house.gov/subcommittees/subcommittee/?ID=107417","LoBiondo","Frank","A.","CHM","Chairman","Larsen","Rick","R.","RMM","Ranking Minority Member","Woodruff Lyons","Holly","E.","Staff Director","MAJ","(202) 226-3220","holly.woodruff@mail.house.gov","Rao","Naveen","C.","Counsel","MAJ","(202) 226-3220","naveen.rao@mail.house.gov","","","","","","","","Presti","Hunter","","Professional Staff Member","MAJ","(202) 226-3220","hunter.presti@mail.house.gov","","","","","","","","Burkett","Alex","","Staff Director","MIN","(202) 225-9161","alex.burkett@mail.house.gov","Tien","Michael","","Counsel","MIN","(202) 225-9161","michael.tien@mail.house.gov","","","","","","","","","","","","","","","","","","","","",""
14633,"HSMA","FH","Federal House","House Committee on Small Business","Committee","","",,"","Room 2361 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515-6315","(202) 225-5821","(202) 226-5276","","http://smallbusiness.house.gov/","Chabot","Steve","J.","CHM","Chairman","Velazquez","Nydia","M.","RMM","Ranking Minority Member","Oliver","Janet","L.","Deputy Staff Director; Chief Counsel","MAJ","(202) 225-5821","jan.oliver@mail.house.gov","Ling","Vivian","","Counsel","MAJ","(202) 225-5821","vivian.ling@mail.house.gov","Althouse","Sarah","","Communications Director","MAJ","(202) 225-5821","sarah.althouse@mail.house.gov","Burchfield","James","","Professional Staff Member","MAJ","(202) 225-2216","james.burchfield@mail.house.gov","Barr","Delia","K.","Clerk","MAJ","(202) 225-5821","delia.barr@mail.house.gov","Jung","Melissa","","Deputy Staff Director","MIN","(202) 225-4038","melissa.jung@mail.house.gov","Pelletier","Justin","","Senior Counsel","MIN","(202) 225-4038","justin.pelletier@mail.house.gov","Haurek","Alex","","Communications Director","MIN","(202) 225-4038","alex.haurek@mail.house.gov","Najieb-Locke","Halimah","","Professional Staff Member","MIN","(202) 225-4038","halimah.najieb-locke@mail.house.gov","","","","","","",""
23127,"HSST05","FH","Federal House","House Subcommittee on Energy","Subcommittee","House Committee on Science, Space, and Technology","HSST",,"","Room 2321 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515-6305","(202) 225-6371","(202) 226-0113","","http://science.house.gov/subcommittees/subcommittee-energy-115th-congress","Weber","Randy","","CHM","Chairman","Veasey","Marc","A.","RMM","Ranking Minority Member","Domenech","Emily","","Staff Director","MAJ","(202) 225-6371","emily.domenech@mail.house.gov","","","","","","","","","","","","","","","Ward","Jimmy","","Professional Staff Member","MAJ","(202) 225-6371","jimmy.ward@mail.house.gov","","","","","","","","Rosenberg","Adam","L.","Staff Director","MIN","(202) 225-6375","adam.rosenberg@mail.house.gov","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14643,"HFIN","FH","Federal House","House Committee on Financial Services","Committee","","",,"","Room 2129 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515","(202) 225-7502","(202) 225-6952","http://financialservicesforms.house.gov/Contact/ContactForm.htm","http://financialservices.house.gov/","Hensarling","Jeb","","CHM","Chairman","Waters","Maxine","","RMM","Ranking Minority Member","Skala","Edward","G.","Deputy Staff Director","MAJ","(202) 225-7502","edward.skala@mail.house.gov","Edgar","Kevin","R.","Chief Counsel","MAJ","(202) 225-7502","kevin.edgar@mail.house.gov","Flaim","Sarah","","Communications Director","MAJ","(202) 225-3484","sarah.flaim@mail.house.gov","Pinder","Joe","","Senior Professional Staff Member","MAJ","(202) 225-7502","Joe.Pinder@mail.house.gov","Keech","Rosemary","","Chief Clerk","MAJ","(202) 225-7502","Rosemary.Keech@mail.house.gov","Erickson","Kristofor","","Deputy Staff Director","MIN","(202) 225-4247","kristofor.erickson@mail.house.gov","Peto","Lisa","","Chief Counsel; Legislative Operations Director","MIN","(202) 225-4247","lisa.peto@mail.house.gov","Hersey","Eric","","Communications Director","MIN","(202) 225-4247","eric.hersey@mail.house.gov","McGlinchey","Daniel","P.","Senior Professional Staff Member","MIN","(202) 225-4247","daniel.mcglinchey@mail.house.gov","","","","","","",""
14654,"HBUD","FH","Federal House","House Committee on Budget","Committee","","",,"","Room B-234 LHOB- Longworth House Office Building","15 Independence Avenue, SE","Washington","DC","20515","(202) 226-7270","(202) 225-7174","budget.republicans@mail.house.gov","http://budget.house.gov","Womack","Steve","","CHM","Chairman","Yarmuth","John","A.","RMM","Ranking Minority Member","Keniry","Dan","","Staff Director","MAJ","(202) 226-7270","dan.keniry@mail.house.gov","Popadiuk","Mary","E.","General Counsel","MAJ","(202) 226-7270","mary.popadiuk@mail.house.gov","Corley","Sarah","A.","Press Secretary","MAJ","(202) 226-7270","sarah.corley@mail.house.gov","","","","","","","","","","","","","","","Balis","Ellen","J.","Staff Director","MIN","(202) 226-7200","ellen.balis@mail.house.gov","Harris","Jocelyn","M.","General Counsel","MIN","(202) 226-7200","jocelyn.harris@mail.house.gov","Lau","Samuel","","Communications Director","MIN","(202) 226-7200","sam.lau@mail.house.gov","","","","","","","","","","","","","",""
