"OFCID","OFCTYPE","TYPEDESCR","OFCNAME","OFCSTATE","STATENAME","OFCORDER","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","OFFICERLNAME","OFFICERFNAME","OFFICERMNAME","SDLNAME","SDFNAME","SDMNAME","SDTITLE","SDPHONE","SDEMAIL","GCLNAME","GCFNAME","GCMNAME","GCTITLE","GCPHONE","GCEMAIL","LDLNAME","LDFNAME","LDMNAME","LDTITLE","LDPHONE","LDEMAIL","PSLNAME","PSFNAME","PSMNAME","PSTITLE","PSPHONE","PSEMAIL"
14,"FH","Federal House","House Minority Whip",,"",6,"Room H-148 The Capitol","","Washington","DC","20515-6537","(202) 225-3130","(202) 226-0663","","http://democraticwhip.house.gov/","Hoyer","Steny","H.","Romick","Brian","","Deputy Chief of Staff","(202) 225-3130","Brian.Romick@mail.house.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","Grant","Katie","L.","Communications Director","(202) 225-3130","Katie.Grant@mail.house.gov"
27,"FH","Federal House","Clerk of the House",,"",25,"Room H-154 The Capitol","","Washington","DC","20515-6601","(202) 225-7000","(202) 225-1776","info.clerkweb@mail.house.gov","http://clerk.house.gov/","Haas","Karen","L.","Reeves","Robert","F.","Deputy Clerk","(202) 225-7000","Robert.Reeves@mail.house.gov","Lett","Gloria","","Office of House Employment Counsel","(202) 225-7075","Gloria.Lett@mail.house.gov","","","","","","elizabeth.hoffman@mail.house.gov","Cooke","Catherine","","Office of Communications Chief","(202) 225-7000","catherine.cooke@mail.house.gov"
42,"FS","Federal Senate","Senate Democratic Policy and Communications Center Chairman (DPCC)",,"",16,"Room 318 The Capitol","","Washington","DC","20510","(202) 224-3232","(202) 228-5576","http://www.dpcc.senate.gov/?p=contact","http://www.dpcc.senate.gov/","Stabenow","Debbie","A.","Sweeney","Bill","","Staff Director","(202) 224-3232","bill_sweeney@dpcc.senate.gov","Donnelly","John","","Counsel","(202) 224-3232","John_Donnelly@dpcc.senate.gov","","","","","","elizabeth.hoffman@mail.house.gov","Margowsky","Miranda","","Press Secretary","(202) 224-4822","miranda_margowsky@stabenow.senate.gov"
1226,"FH","Federal House","House Photography Office Director",,"",35,"Room B-302 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515","(202) 225-2840","","","","Blakley","Jeff","","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1238,"FS","Federal Senate","Senate Parliamentarian",,"",27,"Room S-133 The Capitol","","Washington","DC","20510","(202) 224-6128","","elizabeth_macdonough@sec.senate.gov","","MacDonough","Elizabeth","C.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1597,"FH","Federal House","House Majority Chief Deputy Whip",,"",5,"Room H-330 The Capitol","","Washington","DC","20515","(202) 225-0197","(202) 225-0316","http://writerep.house.gov/writerep/welcome.shtml","http://majoritywhip.house.gov/","McHenry","Patrick","T.","Poling","Parker","","Chief of Staff","(202) 225-0197","parker.poling@mail.house.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
1879,"FH","Federal House","House Democratic Policy and Communications Committee Co-Chair",,"",22,"House Basement 18 The Capitol","","Washington","DC","20004","(202) 225-3335","","DPCC@mail.house.gov","http://dpcc.house.gov/","Cicilline","David","N.","","","","","","","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
15,"FS","Federal Senate","Senate Majority Whip; Senate Assistant Majority Leader",,"",7,"Room S-208 The Capitol","","Washington","DC","20510-7010","(202) 224-2708","(202) 228-1507","http://www.cornyn.senate.gov/contact","http://www.cornyn.senate.gov","Cornyn","John","","Popp","Monica","","Chief of Staff","(202) 224-2708","monica_popp@cornyn.senate.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","","","","","",""
17,"FS","Federal Senate","Chaplain of the Senate",,"",29,"Room S-332 The Capitol","","Washington","DC","20510-7002","(202) 224-2510","(202) 224-9686","barry_black@chaplain.senate.gov","http://www.senate.gov/artandhistory/history/common/briefing/Senate_Chaplain.htm","Black","Barry","C.","Schultz","Lisa","","Chief of Staff","(202) 224-7456","lisa_schultz@chaplain.senate.gov","","","","","","","","","","","","elizabeth.hoffman@mail.house.gov","Bogoslavski","Jody","","Director of Communications","(202) 224-2048","jody_Bogoslavski@chaplain.senate.gov"
18,"FH","Federal House","House Majority Whip",,"",4,"Room H-329 The Capitol","","Washington","DC","20515","(202) 225-0197","(202) 226-0386","steve.scalise@mail.house.gov","http://majoritywhip.house.gov/","Scalise","Steve","J.","Horton","Brett","H.","Chief of Staff to the House Majority Whip","(202) 225-0197","Brett.Horton@mail.house.gov","Wieand","Jeff","","Counsel","(202) 225-0197","jeff.wieand@mail.house.gov","","","","","","elizabeth.hoffman@mail.house.gov","Bond","Christopher","","Communications Director","(202) 225-0197","chris.bond@mail.house.gov"
