"COMID","COMCODE","COMTYPE","TYPEDESCR","COMNAME","COMLEVEL","PARENTNAME","PARENTCOMCODE","COMSTATE","STATENAME","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","CHAIRLNAME","CHAIRFNAME","CHAIRMNAME","CHAIROCODE","CHAIRDESC","RMMLNAME","RMMFNAME","RMMMNAME","RMMOCODE","RMMDESC","SD1LNAME","SD1FNAME","SD1MNAME","SD1TITLE","SD1MAJMIN","SD1PHONE","SD1EMAIL","GC1LNAME","GC1FNAME","GC1MNAME","GC1TITLE","GC1MAJMIN","GC1PHONE","GC1EMAIL","PS1LNAME","PS1FNAME","PS1MNAME","PS1TITLE","PS1MAJMIN","PS1PHONE","PS1EMAIL","PM1LNAME","PM1FNAME","PM1MNAME","PM1TITLE","PM1MAJMIN","PM1PHONE","PM1EMAIL","CK1LNAME","CK1FNAME","CK1MNAME","CK1TITLE","CK1MAJMIN","CK1PHONE","CK1EMAIL","SD2LNAME","SD2FNAME","SD2MNAME","SD2TITLE","SD2MAJMIN","SD2PHONE","SD2EMAIL","GC2LNAME","GC2FNAME","GC2MNAME","GC2TITLE","GC2MAJMIN","GC2PHONE","GC2EMAIL","PS2LNAME","PS2FNAME","PS2MNAME","PS2TITLE","PS2MAJMIN","PS2PHONE","PS2EMAIL","PM2LNAME","PM2FNAME","PM2MNAME","PM2TITLE","PM2MAJMIN","PM2PHONE","PM2EMAIL","CK2LNAME","CK2FNAME","CK2MNAME","CK2TITLE","CK2MAJMIN","CK2PHONE","CK2EMAIL"
14802,"ALSCFTG","SS","State Senate","Senate Committee on Finance and Taxation- General Fund","Committee","","",16,"Alabama","Alabama State House","11 South Union Street","Montgomery","AL","36130-4600","(334) 242-7849","","","http://www.legislature.state.al.us/aliswww/ISD/SenCommittee.aspx?OID_ORGANIZATION=1772&COMMITTEE=Finance%20and%20Taxation%20General%20Fund","Pittman","Trip","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14838,"ALHCE","SH","State House","House Committee on Education Policy","Committee","","",16,"Alabama","Alabama State House","11 South Union Street","Montgomery","AL","36130-2950","(334) 242-7666","","","http://www.legislature.state.al.us/aliswww/ISD/HseCommittee.aspx?OID_ORGANIZATION=2799&COMMITTEE=Education%20Policy","Collins","Terri","","CHM","Chairman","Scott","Rod","H.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14866,"ALHCLCL","SH","State House","House Committee on Lee County Legislation","Committee","","",16,"Alabama","Alabama State House","11 South Union Street","Montgomery","AL","36130-2950","(334) 353-9450","","","http://www.legislature.state.al.us/aliswww/ISD/HseCommittee.aspx?OID_ORGANIZATION=2353&COMMITTEE=Lee%20County%20Legislation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14886,"AKHCLC","SH","State House","House Committee on Labor and Commerce","Committee","","",17,"Alaska","Room 124 State Capitol","120 4th Street","Juneau","AK","99801-1182","(907) 465-4954","","","http://www.legis.state.ak.us/basis/get_com_info.asp?comm=HL!C&session=30","Kito","Sam","S.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14912,"AZSCJ","SS","State Senate","Senate Committee on Judiciary","Committee","","",18,"Arizona","Hearing Room 1 Capitol Complex- Senate","1700 West Washington Street","Phoenix","AZ","85007-2890","(602) 926-3559","","","https://apps.azleg.gov/BillStatus/CommitteeOverView?SessionID=119","Burges","Judy","M.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14955,"ARSCAFE","SS","State Senate","Senate Committee on Agriculture, Forestry and Economic Development","Committee","","",19,"Arkansas","Room 309 320 State Capitol Building","500 Woodlane Avenue","Little Rock","AR","72201-1089","(501) 682-5951","","","http://www.arkleg.state.ar.us/assembly/2017/2018F/pages/CommitteeDetail.aspx?committeecode=470","Caldwell","Ronald","R.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14972,"ARHCIC","SH","State House","House Committee on Insurance and Commerce","Committee","","",19,"Arkansas","Room 149 350 State Capitol Building","500 Woodlane Avenue","Little Rock","AR","72201-1089","(501) 682-2920","","","http://www.arkleg.state.ar.us/assembly/2017/2018F/pages/CommitteeDetail.aspx?committeecode=890","Collins","Charlie","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15037,"CASCEQ","SS","State Senate","Senate Committee on Environmental Quality","Committee","","",20,"California","Room 2205 State Capitol","1303 Tenth Street","Sacramento","CA","95814","(916) 651-4108","(916) 322-3519","","http://senv.senate.ca.gov/","Wieckowski","Robert","A.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15065,"CAACB10","SH","State House","Subcommittee No. 2 on Education Finance","Subcommittee","Assembly Committee on Budget","CAACB",20,"California","Room 6026 State Capitol","1303 Tenth Street","Sacramento","CA","95814","(916) 319-2099","(916) 319-2199","","http://abgt.assembly.ca.gov/sub2educationfinance","McCarty","Kevin","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15082,"CAACNR","SH","State House","Assembly Committee on Natural Resources","Committee","","",20,"California","Room 164 Legislative Office Building","1020 N Street","Sacramento","CA","95814","(916) 319-2092","(916) 319-2192","","http://antr.assembly.ca.gov/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
