"OFCID","OFCTYPE","TYPEDESCR","OFCNAME","OFCSTATE","STATENAME","OFCORDER","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","OFFICERLNAME","OFFICERFNAME","OFFICERMNAME","SDLNAME","SDFNAME","SDMNAME","SDTITLE","SDPHONE","SDEMAIL","GCLNAME","GCFNAME","GCMNAME","GCTITLE","GCPHONE","GCEMAIL","LDLNAME","LDFNAME","LDMNAME","LDTITLE","LDPHONE","LDEMAIL","PSLNAME","PSFNAME","PSMNAME","PSTITLE","PSPHONE","PSEMAIL"
98,"SS","State Senate","Senate President Pro Tempore",34,"North Carolina",2,"Room 2008 Legislative Building","16 West Jones Street","Raleigh","NC","27601","(919) 733-5708","(919) 715-2880","Phil.Berger@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=Senate","Berger","Phil","E.","","","","","","","","","","","","","","","","","","","","","","","",""
99,"SS","State Senate","President of the Senate",34,"North Carolina",1,"Legislative Building","16 West Jones Street","Raleigh","NC","27601","(919) 733-6854","","","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=Senate","Forest","Dan","J.","","","","","","","","","","","","","","","","","","","","","","","",""
100,"SS","State Senate","Senate Deputy President Pro Tempore",34,"North Carolina",3,"Room 2008 Legislative Building","16 West Jones Street","Raleigh","NC","27601","(919) 715-8363","(919) 715-2880","Louis.Pate@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=Senate","Pate","Louis","M.","","","","","","","","","","","","","","","","","","","","","","","",""
102,"SS","State Senate","Senate Majority Leader",34,"North Carolina",4,"Room 300-B Legislative Office Building","300 North Salisbury Street","Raleigh","NC","27601","(919) 715-3034","(919) 715-5815","Harry.Brown@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=Senate","Brown","Harry","C.","","","","","","","","","","","","","","","","","","","","","","","",""
103,"SH","State House","Speaker of the House",34,"North Carolina",1,"Room 2301 Legislative Office Building","300 North Salisbury Street","Raleigh","NC","27601","(919) 739-1221","","Tim.Moore@ncleg.net","http://www.ncleg.net/gascripts/members/viewMember.pl?sChamber=House&nUserID=339","Moore","Tim","","","","","","","","","","","","","","","","","","","","","","","","",""
104,"SH","State House","Speaker Pro Tempore of the House",34,"North Carolina",2,"Room 419 Legislative Office Building","300 North Salisbury Street","Raleigh","NC","27601","(919) 715-1883","","Sarah.Stevens@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=house","Stevens","Sarah","S.","","","","","","","","","","","","","","","","","","","","","","","",""
106,"SS","State Senate","Senate Majority Whip",34,"North Carolina",5,"Room 627 Legislative Office Building","300 North Salisbury Street","Raleigh","NC","27601","(919) 733-5870","(919) 715-2880","Jerry.Tillman@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=Senate","Tillman","Jerry","W.","","","","","","","","","","","","","","","","","","","","","","","",""
107,"SH","State House","House Majority Leader",34,"North Carolina",3,"Room 301F Legislative Office Building","300 North Salisbury Street","Raleigh","NC","27603-5925","(919) 715-3017","(919) 733-3113","John.bell@ncleg.net","http://www.ncleg.net/gascripts/members/membersByDistrict.pl?sChamber=H&nDistrict=10","Bell","John","R.","","","","","","","","","","","","","","","","","","","","","","","",""
108,"SH","State House","House Democratic Leader",34,"North Carolina",14,"Room 506 Legislative Building","16 West Jones Street","Raleigh","NC","27601","(919) 733-5974","","Darren.Jackson@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=house","Jackson","Darren","G.","","","","","","","","","","","","","","","","","","","","","","","",""
109,"SH","State House","House Democratic Whip",34,"North Carolina",17,"Room 1204 Legislative Building","16 West Jones Street","Raleigh","NC","27601-1096","(919) 733-5803","","Garland.Pierce@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=house","Pierce","Garland","E.","","","","","","","","","","","","","","","","","","","","","","","",""
