"RELIGCODE","RELIGION","LUTORDER"
"NON","None",1
"OTH","Unspecified/Other",2
"AME","African Methodist Episcopal",3
"ANG","Anglican",4
"ACT","Anglican Catholic",5
"APO","Apostolic Christian",6
"ASG","Assembly of God",7
"ATH","Atheist",8
"BAP","Baptist",9
"BRE","Brethren Church",10
"BUD","Buddhism",11
"CAT","Catholic",12
"CHC","Christian Church",13
"CND","Christian - Non-Denominational",14
"CRC","Christian Reformed Church",15
"CSC","Christian Scientist",16
"COC","Church of Christ",17
"COG","Church of God",18
"COB","Church of the Brethren",19
"CUB","Church of the United Brethren in Christ",20
"CMC","Community of Christ",21
"CON","Congregationalist",22
"DOC","Disciples of Christ",23
"EOR","Eastern Orthodox",24
"EPI","Episcopalian",25
"EVA","Evangelical",26
"FOU","Foursquare",27
"FRH","French Huguenot",28
"FMC","Friedensthal Moravian Church",29
"GRO","Greek Orthodox",30
"HIN","Hinduism",31
"USC","Independent Bible Church",32
"ISL","Islam (Muslim)",33
"JEW","Jewish",34
"LUT","Lutheran",35
"MEN","Mennonite",36
"MET","Methodist",37
"MOR","Mormon",38
"NAZ","Nazarene",39
"PEN","Pentecostal",40
"PRE","Presbyterian",41
"USP","Protestant - Unspecified Christian",42
"QKR","Quaker",43
"LDS","Reorganized Church of Jesus Christ of Later Day Saints (Mormon)",44
"ROC","Roman Catholic",45
"SDA","Seventh-Day Adventist",46
"SHE","Shekinah Fellowship",47
"SBP","Southern Baptist",48
"UNI","Unitarian",49
"UNT","United Church of Christ",50
"WES","Wesleyan",51
