"FUNCTIONCODE","FUNCTIONDESCRIPTION","LUTORDER"
"SD","Staff Director / Chief of Staff",1
"AD","Administrative Director",2
"GAC","Counsel / General Counsel",3
"CK","Clerk",4
"PD","Policy Director",5
"PA","Senior Analyst / Policy Analyst / Advisor",6
"LA","Legislative Assistant",7
"PS","Press Secretary / Communications Director",8
"NMD","New Media Director / Online Communications",9
"OUT","Outreach",10
"SW","Speechwriter / Editor / Publications and Documents",11
"EA","Executive Assistant",12
"SC","Scheduler",13
"PMF","Professional Staff Member",14
"PL","Parliamentarian",15
"CT","Comptroller",16
"MSS","Member Services Staff",17
"FLS","Floor Staff",18
"AS","Associate Staff",19
"PRA","Press Assistant",20
"LCA","Legislative Correspondent / Legislative Aide",21
"OM","Office Manager / Office Administrator",22
"EC","Economist",23
"DS","Director of Security",24
"INV","Investigator",25
"PRR","Special Projects / Project Director",26
"CP","Chaplain",27
"SPA","Special Assistant",28
"SA","Staff Assistant",29
"SOI","Systems Administrator / Systems Operator",30
"CR","Curator",31
"RG","Registrar",32
"AC","Finance Director / Accountant / Financial",33
"ED","Editor / Publications",34
"RE","Receptionist",35
"INT","Intern",36
